original_market,season,snap_accepting_fm,original_lon,original_lat,original_code,original_fmid,original_pmid,original_produce,distance,formatted,lat,lon,name,housenumber,street,postcode,district,suburb,city,county,county_code,state,state_code,country,country_code,attribution,attribution_license,TotalVendors,Produce,Food,Ethnic,Soul,Specialty,Service,Plantsgarden,ArtCraft,Pets,Foodtrucks,others
Newport Farmers Market,May-September,,-83.185707,35.968166,1141,1141,,,16.62628,"300 East Main Street, Newport, TN 37713, United States of America",35.968178,-83.18589,,300,East Main Street,37713,,,Newport,Cocke County,CE,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Nolensville Farmers Market,May-October,Yes,-86.672569,35.959766,1142,1142,,,16.297686,"Nolensville School, 7248 Nolensville Road, Nolensville, TN 37135, United States of America",35.959625,-86.672523,Nolensville School,7248,Nolensville Road,37135,,Wrencoe,Nolensville,Williamson County,WL,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
North Bedford Farmers Market,June-September,,-86.574547,35.602703,1143,1143,,,51.736282,"3320 Highway 41a North, Unionville, TN 37180, United States of America",35.602348,-86.574181,,3320,Highway 41a North,37180,,,Unionville,Bedford County,BD,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Nourish Knoxville's Winter Farmers Market,December-March,Yes,-83.919617,35.964684,1144,1144,,,5.5825009,"1 Market Square, Knoxville, TN 37902, United States of America",35.964699,-83.919556,,1,Market Square,37902,,,Knoxville,Knox County,KN,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Oak Ridge Farmers Market,Year-round,,-84.240608,36.028893,1145,1145,,,3.0066369,"281 Broadway Avenue, Oak Ridge, TN 37830, United States of America",36.028873,-84.240578,,281,Broadway Avenue,37830,,,Oak Ridge,Roane County,RA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Obion County Farmers Market,June-October,,-89.055611,36.424454,1146,1146,,,5.0346589,"214 East Church Street, Union City, TN 38261, United States of America",36.424419,-89.055573,,214,East Church Street,38261,,,Union City,Obion County,OB,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Olive Branch Farmers Market,July- September,,-89.82663,34.961601,,,,,,"Olive Branch City Hall, 9200 Pigeon Roost Road, Olive Branch, MS 38654, United States of America",34.961601,-89.82663,,9200,Pigeon Roost Road,38654,,,Olive Branch,DeSoto County,,Mississippi,MS,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Ooltewah Farmers Market,November-March,,-85.05999,35.079453,1147,1147,,,26.202227,"5859 Main Street, Collegedale, TN 37363, United States of America",35.079372,-85.059723,,5859,Main Street,37363,,,Collegedale,Hamilton County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Overton Park Community Farmers Market,April-October,Yes,-89.982986,35.14703,1148,1148,,,3.2533863,"401 E Parkway North, Memphis, TN 38112, United States of America",35.147015,-89.982956,,401,E Parkway North,38112,,Binghampton,Memphis,Shelby County,SY,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Penny's Garden Spot,Year-round,,-84.932755,36.425259,2016,,2016,1,11.014253,"243 Main Street South, Jamestown, TN 38556, United States of America",36.425266,-84.932877,,243,Main Street South,38556,,,Jamestown,Fentress County,FE,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Phillips Farm and Garden,Year-round,,-83.528778,35.87746,2017,,2017,1,128.64816,"1353 Witt Hollow Road, Sevierville, TN 37862, United States of America",35.876934,-83.527512,,1353,Witt Hollow Road,37862,,,Sevierville,Sevier County,SV,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Pickett County Farmers Market,Year-round,,-85.155609,36.572277,1149,1149,,,45.968369,"1005 Livingston Highway, Star Point, TN 38549, United States of America",36.572685,-85.155701,,1005,Livingston Highway,38549,,,Star Point,Pickett County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Pikevile Farmers Market,April-September,,-85.18869,35.605984,1150,1150,,,6.6736627,"3150 Main Street, Pikeville, TN 37367, United States of America",35.606014,-85.188751,,3150,Main Street,37367,,,Pikeville,Bledsoe County,BE,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Pleasant View Village Farmers Market,June-September,,-87.014122,36.388187,1151,1151,,,.045369841,"176 Village Sq Ste 100, Clarksville, TN 37043, United States of America",36.388187,-87.014122,,176,Village Sq Ste 100,37043,,,Clarksville,Cheatham County,CA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Portland Farmers Market,May-August,,-86.515236,36.580002,1152,1152,,,26.163931,"101 East Market Street, Portland, TN 37148, United States of America",36.579773,-86.515167,,101,East Market Street,37148,,Commercial Area,Portland,Sumner County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Ray's Produce, ,,-87.544518,35.311581,2018,,2018,1,7.7904081,"42 Chisholm Crossing, Lawrenceburg, TN 38464, United States of America",35.311649,-87.54454,,42,Chisholm Crossing,38464,,,Lawrenceburg,Lawrence County,LW,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Red Barn Produce,Year-round,,-83.425781,36.308743,2019,,2019,1,1.8349881,"2999 Highway 11w South, Rutledge, TN 37861, United States of America",36.308754,-83.425766,,2999,Highway 11w South,37861,,,Rutledge,Grainger County,GA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Richland Farmers Market,Year-round,,-86.84523,36.151421,1153,1153,,,29.801353,"4601 Charlotte Avenue, Nashville, TN 37209, United States of America",36.151566,-86.845512,,4601,Charlotte Avenue,37209,,Richland,Nashville,Davidson County,DA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,68,26,27,9,,1,,1,4,,,
Ripley Downtown Farmers Market,May-October,,-89.531525,35.746033,1154,1154,,,7.2399092,"129 Monroe Street, Ripley, TN 38063, United States of America",35.746006,-89.531593,,129,Monroe Street,38063,,,Ripley,Lauderdale County,LU,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Roan Mountain Farmers Market,July-September ,,-82.075127,36.200203,1155,1155,,,3.0155864,"118 Carter Street, Roan Mountain, TN 37687, United States of America",36.200176,-82.075111,,118,Carter Street,37687,,,Roan Mountain,Carter County,CT,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Robertson County Farmers Market,April-July,,-86.882645,36.520065,1156,1156,,,5.1684518,"4639 Highway 41 North, Springfield, TN 37172, United States of America",36.520035,-86.882599,,4639,Highway 41 North,37172,,,Springfield,Robertson County,RB,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Rogersville Farmers Market,May-August,,-83.007309,36.40543,1157,1157,,,17.916273,"119 Washington Street, Rogersville, TN 37857, United States of America",36.40559,-83.007347,,119,Washington Street,37857,,,Rogersville,Hawkins County,HW,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Rogersville Produce,Year-round,,-83.014565,36.403446,1158,1158,,,12.494061,"711 West Main Street, Rogersville, TN 37857, United States of America",36.40337,-83.014664,,711,West Main Street,37857,,,Rogersville,Hawkins County,HW,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Royal Family Community Farmers Market,August-October,Yes,-86.80294,36.23671,1159,1159,,,3.6043615,"3401 Knight Drive, Nashville, TN 37207, United States of America",36.236679,-86.802925,,3401,Knight Drive,37207,,Little Creek,Nashville,Davidson County,DA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Rutherford County Farmers Market,May-October,Yes,-86.448372,35.854195,1160,1160,,,13.153495,"475 John R Rice Boulevard, Murfreesboro, TN 37129, United States of America",35.85408,-86.448341,,475,John R Rice Boulevard,37129,,,Murfreesboro,Rutherford County,RU,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,25,17,5,,,,,,2,,1,
Sango Night Market,May-November,,-87.21151,36.507538,1161,1161,,,17.044096,"SANGO RD 3575 Sango Road, Clarksville, TN 37043, United States of America",36.507385,-87.211517,,SANGO RD 3575,Sango Road,37043,,,Clarksville,Montgomery County,MT,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Savannah Farmers Market,April-November,,-88.250656,35.225273,1162,1162,,,8.434063,"470 Main Street, Savannah, TN 38372, United States of America",35.225349,-88.250671,,470,Main Street,38372,,,Savannah,Hardin County,HI,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,29,5,8,,,4,,,12,,,
Scott County Farmers Market,May-August,,-84.533661,36.406116,1163,1163,,,3.7847955,"600 Scott High Drive, Huntsville, TN 37756, United States of America",36.40609,-84.533638,,600,Scott High Drive,37756,,,Huntsville,Scott County,SC,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Scott Street Tomato Farm,Year-round,,-89.970703,35.150948,2020,,2020,1,2.7716579,"2651 Faxon Avenue, Memphis, TN 38112, United States of America",35.15097,-89.970688,,2651,Faxon Avenue,38112,,Binghampton,Memphis,Shelby County,SY,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Selmer Farmers Market,June-August,,-88.591217,35.170139,1164,1164,,,8.411746,"120 North Front Street, Selmer, TN 38375, United States of America",35.170101,-88.591141,,120,North Front Street,38375,,,Selmer,McNairy County,MA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Sevierville Farmers Market,May-December,,-83.564644,35.866928,1165,1165,,,3.4418805,"133 Bruce Street, Sevierville, TN 37862, United States of America",35.866947,-83.564674,,133,Bruce Street,37862,,,Sevierville,Sevier County,SV,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Seymour Farmers Market,June-October,Yes,-83.750862,35.865612,1166,1166,,,1.8069113,"11621 Chapman Highway, Seymour, TN 37865, United States of America",35.865597,-83.750854,,11621,Chapman Highway,37865,,,Seymour,Sevier County,SV,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Shannon's Gardens,April-October,,-83.171074,35.926346,2021,,2021,1,5.8170214,"805 Caney Hollow Road, Cocke County, TN 37821, United States of America",35.926395,-83.171051,,805,Caney Hollow Road,37821,,,,Cocke County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Short Mountain Cultures,Year-round,,-86.092606,35.822479,1167,1167,,,27.447536,"1424 John Bragg Highway, Woodbury, TN 37190, United States of America",35.822701,-86.092461,,1424,John Bragg Highway,37190,,,Woodbury,Cannon County,CN,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Smiley’s Produce Market,,,-86.775375,36.401051,2022,,2022,1,39.245335,"1931 US 41, Ridgetop, TN 37073, United States of America",36.400726,-86.775551,,1931,US 41,37073,,,Ridgetop,Robertson County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Smith County Farmers Market,June-October,,-85.947884,36.222382,1168,1168,,,17.991409,"165 Gordonsville Highway, Carthage, TN 37030, United States of America",36.222221,-85.947845,,165,Gordonsville Highway,37030,,,Carthage,Smith County,SH,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Smithville Farmers Market,April-November,,-85.811462,35.953472,1169,1169,,,39.98806,"700 South Congress Boulevard, Smithville, TN 37166, United States of America",35.953548,-85.811897,,700,South Congress Boulevard,37166,,,Smithville,DeKalb County,DE,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Smoky Mountain Farmers Market,Year-round,,-83.572128,35.870129,1170,1170,,,31.209141,"337 West Main Street, Sevierville, TN 37862, United States of America",35.870399,-83.572052,,337,West Main Street,37862,,,Sevierville,Sevier County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Smyrna Depot Farmers Market,May-September,,-86.519539,35.982277,1171,1171,,,4.6013336,"98 Front Street, Smyrna, TN 37167, United States of America",35.982258,-86.519577,,98,Front Street,37167,,,Smyrna,Rutherford County,RU,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,36,7,7,,1,6,1,,14,,,
South Cumberland Farmers Market,June-October,Yes,-85.917221,35.193993,1172,1172,,,0,"Sewanee Community Center, 39 Ball Park Road, Sewanee, TN 37375, United States of America",35.194008,-85.917221,Sewanee Community Center,39,Ball Park Road,37375,,,Sewanee,Franklin County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,66,34,10,4,,2,,4,5,,,7
South Memphis Farmers Market,June-September,Yes,-90.033752,35.108772,1173,1173,,,2.2968597,"1400 Mississippi Boulevard, Memphis, TN 38106, United States of America",35.108772,-90.033783,,1400,Mississippi Boulevard,38106,,Bunker Hill,Memphis,Shelby County,SY,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Sparta Farmers Market,May-October,,-85.46537,35.924934,1174,1174,,,1.7464581,"100 East Wall Street, Sparta, TN 38583, United States of America",35.924931,-85.465347,,100,East Wall Street,38583,,,Sparta,White County,WH,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Sparta Green Market,May-October,,-85.464798,35.925034,1175,1175,,,7.1955819,"5 West Maple Street, Sparta, TN 38583, United States of America",35.925095,-85.464767,,5,West Maple Street,38583,,,Sparta,White County,WH,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Springfield Farmers Market,May-August,,-86.882645,36.520065,1176,1176,,,5.1684518,"4639 Highway 41 North, Springfield, TN 37172, United States of America",36.520035,-86.882599,,4639,Highway 41 North,37172,,,Springfield,Robertson County,RB,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
St. George's Farmers Market,May-August,,-86.853172,36.11972,1177,1177,,,20.558264,"4715 Harding Pike, Nashville, TN 37205, United States of America",36.119553,-86.853081,,4715,Harding Pike,37205,,West Meade,Nashville,Davidson County,DA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
State Street Farmers Market,May-October,Yes,-82.187019,36.594517,1178,1178,,,4.8883462,"810 State Street, Bristol, TN 37620, United States of America",36.594543,-82.186974,,810,State Street,37620,,,Bristol,Sullivan County,SL,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Stones River Market,Year-round,,-86.390022,35.843895,1179,1179,,,10.724396,"231 S Spring Street, Murfreesboro, TN 37130, United States of America",35.843937,-86.390129,,231,S Spring Street,37130,,,Murfreesboro,Rutherford County,RU,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Sunfresh Produce,Year-round,,-83.536728,36.274647,2023,,2023,1,.35504454,"7405 Rutledge Pike, Rutledge, TN 37861, United States of America",36.274647,-83.536736,,7405,Rutledge Pike,37861,,,Rutledge,Grainger County,GA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Tazewell Farmers Market, ,,-83.57003,36.452518,1180,1180,,,0,"Tazewell Methodist Church, 1702 Main Street, Tazewell, TN 37879, United States of America",36.452564,-83.570152,Tazewell Methodist Church,1702,Main Street,37879,,,Tazewell,Claiborne County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Tellico Community Farmers Market,April-November,,-84.273209,35.425053,1181,1181,,,47.80537,"753 Farm Market Drive, Tellico Plains, TN 37385, United States of America",35.425152,-84.272697,,753,Farm Market Drive,37385,,,Tellico Plains,Monroe County,MR,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
The Corinth Farmers Market,May-November,,-88.514336,34.945377,,,,,,"904 Shiloh Road, Corinth, MS 38834, United States of America",34.945377,-88.514336,,904,Shiloh Road,38834,,,Corinth,Alcorn County,,Mississippi,MS,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
The Farm,April-October,,-87.320839,35.471462,2024,,2024,1,.16703828,"100 Farm Road, Summertown, TN 38483, United States of America",35.471458,-87.320839,,100,Farm Road,38483,,,Summertown,Lewis County,LE,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,36,5,5,,,3,1,,22,,,
The Preserve Farmers Market,Year-round,,-84.416512,35.905956,1182,1182,,,13.308694,"201 Broadberry Avenue, Oak Ridge, TN 37830, United States of America",35.906044,-84.416611,,201,Broadberry Avenue,37830,,,Oak Ridge,Roane County,RA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
The Walnut Street Market,January-December,Yes,-85.506271,36.160793,1183,1183,,,4.3371968,"136 South Walnut Avenue, Cookeville, TN 38501, United States of America",36.160778,-85.506226,,136,South Walnut Avenue,38501,,,Cookeville,Putnam County,PU,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Thompson's Station Farmers Market,May-October,Yes,-86.905754,35.800308,1184,1184,,,24.904186,"4683 Columbia Pk, Thompsons Station, TN 37179, United States of America",35.800381,-86.905487,,4683,Columbia Pk,37179,,,Thompsons Station,Williamson County,WL,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Three Rivers Farmers Market,Year-round,,-83.927986,35.981384,1185,1185,,,2.4787107,"Three Rivers Market, 1100 North Central Street, Knoxville, TN 37917, United States of America",35.981373,-83.928009,Three Rivers Market,1100,North Central Street,37917,,Mechanicsville,Knoxville,Knox County,KN,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Three Seasons Market,April-October,,-85.745338,35.259499,1186,1186,,,34.163288,"14399 Us 41, Tracy City, TN 37387, United States of America",35.259731,-85.745087,,14399,Us 41,37387,,,Tracy City,Grundy County,GU,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Town Of Livingston Farmers Market,May-November,,-85.323837,36.385422,1187,1187,,,2.2652464,"141 West First Street, Livingston, TN 38570, United States of America",36.385414,-85.323814,,141,West First Street,38570,,,Livingston,Overton County,OV,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,35,3,10,1,,3,,2,14,,,2
Tri-State Farmers Market,April-November,,-83.655396,36.579624,1188,1188,,,15.147087,"6920 Cumberland Gap Parkway, Harrogate, TN 37752, United States of America",36.579494,-83.655357,,6920,Cumberland Gap Parkway,37752,,,Harrogate,Claiborne County,CI,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Triple A Farm,March-December,,-86.52533,35.765396,2025,,2025,1,8.333519,"8177 Highway 99, Rockvale, TN 37153, United States of America",35.765442,-86.525398,,8177,Highway 99,37153,,,Rockvale,Rutherford County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Tullahoma Farmers Market,April-September,,-86.208527,35.356808,1189,1189,,,6.5350471,"402 South Jackson Street, Tullahoma, TN 37388, United States of America",35.356846,-86.208466,,402,South Jackson Street,37388,,,Tullahoma,Coffee County,CF,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Union County Farmers Market,May-October,Yes,-83.822578,36.236973,1190,1190,,,5.5840702,"114 Durham Drive, Maynardville, TN 37807, United States of America",36.236965,-83.822639,,114,Durham Drive,37807,,Union County Business Park,Maynardville,Union County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,25,14,6,,,,,,5,,,
Van Buren County Farmers Market,May-October,,-85.46257,35.745132,1191,1191,,,3.2400424,"Van Buren County Farmers Market, 500 College Street, Spencer, TN 38585, United States of America",35.745274,-85.462547,Van Buren County Farmers Market,500,College Street,38585,,,Spencer,Van Buren County,VA,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Vanderbilt Farmers Market,June-October,Yes,-86.80172,36.142879,1192,1192,,,0,"Vanderbilt University Medical Center, 1211 Medical Center Drive, Nashville, TN 37232, United States of America",36.140923,-86.801636,Vanderbilt University Medical Center,1211,Medical Center Drive,37232,,,Nashville,Davidson County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,18,4,5,6,,3,,,,,,
Walnut Street Market,Year-round,,-85.506279,36.160809,2026,,2026,1,5.9978814,"136 South Walnut Avenue, Cookeville, TN 38501, United States of America",36.160778,-85.506226,,136,South Walnut Avenue,38501,,,Cookeville,Putnam County,PU,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Warren County Farmers Market,April-November,,-85.770592,35.680019,1193,1193,,,3.306433,"136 Market Street, Mcminnville, TN 37110, United States of America",35.680046,-85.770569,,136,Market Street,37110,,,Mcminnville,Warren County,WR,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Watertown Farmers Market,,,-86.135727,36.098381,1194,1194,,,7.3812318,"101 South Central Avenue, Watertown, TN 37184, United States of America",36.098354,-86.135651,,101,South Central Avenue,37184,,,Watertown,Wilson County,WO,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Waynesboro Farmers Market,May-September,,-87.76506,35.320442,1195,1195,,,9.0885897,"117 Hill Street, Waynesboro, TN 38485, United States of America",35.320366,-87.765091,,117,Hill Street,38485,,,Waynesboro,Wayne County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Wedgewood Houston Farmers Market,April-October,,-86.767738,36.144726,1196,1196,,,19.160036,"410 Chestnut Street, Nashville, TN 37203, United States of America",36.144859,-86.767609,,410,Chestnut Street,37203,,Edgehill,Nashville,Davidson County,DA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
West Tennessee Farmers Market,Year-round,Yes,-88.82061,35.615818,1197,1197,,,19.972929,"220 West College Street, Jackson, TN 38301, United States of America",35.615765,-88.820824,,220,West College Street,38301,,,Jackson,Madison County,MD,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Westhaven Farmers Market,May-October,,-86.922737,35.929623,1198,1198,,,1.1165792,"164 Westhaven Boulevard, Franklin, TN 37064, United States of America",35.92963,-86.922745,,164,Westhaven Boulevard,37064,Westhaven,,Franklin,Williamson County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Westmoreland Farmers Harvest,Year-round,,-85.704414,35.012302,2027,,2027,1,21.368664,"237 South Cedar Avenue, South Pittsburg, TN 37380, United States of America",35.012341,-85.704643,,237,South Cedar Avenue,37380,,,South Pittsburg,Marion County,MI,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Wharf Street Farmers Market,June- October ,,-84.338028,35.741676,1199,1199,,,0,"Loudon County Chamber of Commerce, 410 Wharf Street, Loudon, TN 37774, United States of America",35.741695,-84.338036,Loudon County Chamber of Commerce,410,Wharf Street,37774,,,Loudon,Loudon County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
White House Farmers Market,May-August,,-86.662682,36.469372,1200,1200,,,100.8952,"416 Highway 76, White House, TN 37188, United States of America",36.468834,-86.661774,,416,Highway 76,37188,,,White House,Robertson County,RB,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,33,11,8,,,4,,,4,,5,
White Pine Farmers Market,April-October,,-83.284676,36.109772,1201,1201,,,6.0548162,"1806 Main Street, White Pine, TN 37890, United States of America",36.109783,-83.284744,,1806,Main Street,37890,,,White Pine,Jefferson County,JE,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Whitehaven Farmers Market,July-September,,-90.021446,35.033112,1202,1202,,,0,"Methodist South Hospital, 1300 Wesley Drive, Memphis, TN 38116, United States of America",35.032078,-90.02066,Methodist South Hospital,1300,Wesley Drive,38116,,Whitehaven,Memphis,Shelby County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Whites Creek Organic Farmers Market,Year-round,,-86.810417,36.286213,1203,1203,,,4.8591304,"4777 Lickton Pike, Nashville, TN 37189, United States of America",36.286228,-86.810371,,4777,Lickton Pike,37189,,Lickton,Nashville,Davidson County,DA,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,,,,,,,,,,,,
Wilbank's Produce,Year-round,,-88.53759,34.931019,2028,,2028,1,303.23352,"Corinth City Cemetery, Corinth, MS 38834, United States of America",34.933369,-88.535904,Corinth City Cemetery,,Corinth City Cemetery,38834,,,Corinth,Alcorn County,AL,Mississippi,MS,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
Winchester Farmers Market,Year-round,,-89.842743,35.051273,1204,1204,,,33.081173,"6616 Winchester Road, Memphis, TN 38115, United States of America",35.050991,-89.842865,,6616,Winchester Road,38115,,Balmoral,Memphis,Shelby County,SY,Tennessee,TN,United States,us,© OpenAddresses contributors,BSD-3-Clause License,23,7,8,2,,2,,,3,1,,
Winter Farmers Market,December-March,,-84.231628,36.022659,1205,1205,,,0,"Coffey/McNally Building, 701 Briarcliff Avenue, Oak Ridge, TN 37830, United States of America",36.02261,-84.231667,Coffey/McNally Building,701,Briarcliff Avenue,37830,,,Oak Ridge,Anderson County,,Tennessee,TN,United States,us,© OpenStreetMap contributors,Open Database License,,,,,,,,,,,,
